Risk ID,Title,Risk Owner,Risk Category,Likelihood,Impact,Risk Score,Status,Control Effectiveness,Last Updated
R-1000,Sample risk 1,Compliance,Business Continuity,3,5,15,Mitigated,Medium,2025-06-28
R-1001,Sample risk 2,Compliance,Business Continuity,3,3,9,Closed,High,2025-05-22
R-1002,Sample risk 3,IT,Access Control,1,5,5,Mitigated,Low,2025-07-12
R-1003,Sample risk 4,Security,Access Control,2,4,8,Closed,Low,2025-10-06
R-1004,Sample risk 5,Operations,Data Protection,4,3,12,Open,Medium,2025-05-05
R-1005,Sample risk 6,IT,Access Control,3,1,3,Mitigated,Medium,2025-07-13
R-1006,Sample risk 7,Operations,Access Control,1,4,4,Mitigated,Low,2025-07-04
R-1007,Sample risk 8,Security,Third-party,2,4,8,Mitigated,Low,2025-09-07
R-1008,Sample risk 9,Operations,Access Control,4,5,20,Open,Medium,2025-07-05
R-1009,Sample risk 10,IT,Access Control,3,3,9,Mitigated,Medium,2025-09-18
R-1010,Sample risk 11,IT,Data Protection,4,2,8,Open,Low,2025-08-31
R-1011,Sample risk 12,Compliance,Data Protection,2,4,8,Mitigated,High,2025-05-25
R-1012,Sample risk 13,Operations,Third-party,5,5,25,Open,Medium,2025-06-15
R-1013,Sample risk 14,Compliance,Configuration,3,4,12,Mitigated,Low,2025-08-23
R-1014,Sample risk 15,Compliance,Data Protection,4,3,12,Accepted,Low,2025-08-16
R-1015,Sample risk 16,IT,Access Control,2,1,2,Mitigated,Medium,2025-09-12
R-1016,Sample risk 17,Finance,Access Control,4,3,12,Closed,Medium,2025-07-09
R-1017,Sample risk 18,IT,Business Continuity,5,4,20,Closed,High,2025-05-28
R-1018,Sample risk 19,Security,Access Control,3,5,15,Open,High,2025-08-21
R-1019,Sample risk 20,Operations,Business Continuity,2,3,6,Closed,Low,2025-09-16
R-1020,Sample risk 21,Compliance,Third-party,3,3,9,Open,High,2025-08-10
R-1021,Sample risk 22,Operations,Data Protection,2,3,6,Open,Medium,2025-04-26
R-1022,Sample risk 23,IT,Business Continuity,2,3,6,Open,Low,2025-08-05
R-1023,Sample risk 24,Finance,Data Protection,5,3,15,Mitigated,Medium,2025-06-06
R-1024,Sample risk 25,Operations,Configuration,3,5,15,Open,Low,2025-05-22
R-1025,Sample risk 26,Compliance,Data Protection,3,4,12,Open,Medium,2025-07-16
R-1026,Sample risk 27,Operations,Configuration,5,3,15,Accepted,High,2025-09-09
R-1027,Sample risk 28,IT,Third-party,4,2,8,Closed,Medium,2025-10-09
